Board of Directors

The highest ranked candidate gets the highest score; thus a score of 1 indicates the candidate was least preferred.

Ballot	Amari Atkins	Briana Brock	Carlos Casten	Danna Dunn	Ed Ellis	Frances Flynn	Gunnar Gardsen	Helen Hurst	Ivan Ishutin	Jada Jackson	Kai Kerr	Laura Logan	Marco Mendoza	Nala Nolan	Otto Osborn	Piper Peck	Quentin Quag	Rose Rollins	Sean Scott	Talia Turner	Write-in 1	Write-in 2	Write-in 3	Write-in 4	Write-in 5	Write-in 6	Write-in 7	Write-in 8	Write-in 9	Write-in 10	Abstain
313	4	2	3	1	5	6	7	9	18	20	19	17	16	15	14	10	12	11	8	13											
314	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	17	16	18	20	19											
315	17	19	18	20	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
316	19	14	15	13	18	20	16	17	12	11	10	8	9	7	6	2	4	3	1	5											
317	4	2	3	1	5	6	7	8	14	16	17	20	15	19	18	10	13	11	9	12											
318	4	2	3	1	5	6	7	8	9	15	16	19	17	18	20	11	10	13	12	14											
319	4	2	3	1	5	7	6	8	9	11	12	13	10	15	16	19	20	18	14	17											
320	19	17	20	15	18	14	16	13	12	11	10	8	9	7	6	1	3	4	2	5											
321	4	2	3	1	5	7	6	8	15	16	20	19	14	18	17	11	13	10	9	12											
322	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	17	16	20	19	18											
323	4	2	3	1	5	6	7	8	9	10	11	13	12	14	16	17	15	19	18	20											
324	19	14	15	13	18	20	16	17	12	11	10	8	9	7	6	2	4	3	1	5											
325	19	17	20	16	18	14	15	13	12	11	10	8	9	7	6	1	4	3	2	5											
326	4	2	3	1	5	6	7	8	11	15	16	20	17	19	18	10	12	13	9	14											
327	4	2	3	1	5	6	7	8	14	19	16	18	20	17	15	10	9	12	11	13											
328	4	2	3	1	5	7	6	8	9	10	12	16	11	17	18	19	20	14	13	15											
329	17	19	18	20	16	15	14	13	12	11	10	8	9	7	6	2	4	3	1	5											
330	20	17	18	14	19	16	15	13	12	11	10	8	9	7	6	2	4	3	1	5											
331	4	2	3	1	5	7	6	12	20	18	19	17	14	16	15	10	13	9	8	11											
332	4	2	3	1	5	6	7	8	9	10	11	17	12	18	20	14	13	16	15	19											
333	4	2	3	1	5	8	11	13	17	20	18	16	19	15	14	6	9	10	7	12											
334	19	15	14	13	17	20	16	18	12	11	10	8	9	7	6	2	5	3	1	4											
335	4	2	3	1	5	6	7	8	9	10	11	14	12	15	17	16	13	19	18	20											
336	18	15	14	13	17	20	16	19	12	11	10	8	9	7	6	2	5	3	1	4											
337	18	19	20	16	17	14	15	13	12	11	10	8	9	7	6	1	3	4	2	5											
338	18	14	16	13	19	17	20	15	11	12	9	8	10	7	6	1	3	4	2	5											
339	4	2	3	1	5	6	7	8	12	16	15	19	20	17	18	10	9	13	11	14											
340	17	14	13	10	16	19	18	20	15	12	11	8	9	7	6	2	5	3	1	4											
341	4	2	3	1	5	6	7	8	9	10	11	13	12	14	15	17	16	20	18	19											
342	19	16	18	14	20	15	17	13	11	12	9	8	10	7	6	1	3	4	2	5											
343	18	14	15	11	19	17	20	16	12	13	9	8	10	7	6	1	3	4	2	5											
344	19	15	17	13	20	16	18	14	11	12	9	8	10	7	6	1	3	4	2	5											
345	4	2	3	1	5	6	7	8	9	10	12	13	11	14	15	19	20	18	16	17											
346	4	2	3	1	5	6	7	8	9	10	12	18	11	19	20	14	16	15	13	17											
347	4	2	3	1	5	6	7	8	9	10	12	13	11	14	15	19	20	18	16	17											
348	4	2	3	1	5	6	7	8	9	10	12	15	11	17	18	19	20	14	13	16											
349	4	2	3	1	5	7	6	8	16	15	20	19	13	18	17	12	14	10	9	11											
350	4	2	3	1	5	6	7	8	14	19	17	18	20	16	15	9	10	12	11	13											


